Sega,Episode Titles,English air date,Households,Rank,Viewership
Kid Buu Saga,"""Merged!! Vegeta's Pride and Goku's Rage"" / ""Union of Rivals""",November 7 2002,"2,631,000",14,"3,806,000"
Kid Buu Saga,"""Magnificent Power!! Vegetto Surpasses the Ultimate"" / ""Meet Vegito""",November 8 2002,N/A,N/A,N/A
Kid Buu Saga,"""A Fissure Between Dimensions!! Has Boo Snapped!?"" / ""Rip in the Universe""",November 11 2002,N/A,N/A,N/A
Kid Buu Saga,"""The Ace Up Boo's Sleeve!! You Become a Hard Candy!"" / ""Vegito...Downsized""",November 12 2002,"2,234,000",36,N/A
Kid Buu Saga,"""A Hero Lost!? Vegetto is Absorbed"" / ""The Incredible Fighting Candy""",November 13 2002,"2,247,000",34,N/A
Kid Buu Saga,"""A Demonic Maze!! What Is There Inside Boo's Belly!?"" / ""The Innards of Buu""",November 14 2002,"2,351,000",28,N/A
Kid Buu Saga,"""Nightmares or Illusions!? Goku and Gohan's Father-Son Confrontation"" / ""Mind Trap""",November 15 2002,N/A,N/A,N/A
Kid Buu Saga,"""A Majin's Secret!! Two More Boos Inside of Boo"" / ""Deadly Vision""",November 18 2002,"2,399,000",16,N/A
Kid Buu Saga,"""Where Is the Exit!? Escape from a Collapsing Boo"" / ""Evil Kid Buu!""",November 19 2002,"2,257,000",28,N/A
Kid Buu Saga,"""Earth Disappears!! Boo's Reverse-Transformation of Evil"" / ""End of Earth""",March 17 2003,N/A,N/A,N/A
Kid Buu Saga,"""Buu's Assault!! A Conclusion in the Kaioshin Realm"" / ""True Saiyans Fight Alone""",March 18 2003,N/A,N/A,N/A
Kid Buu Saga,"""Seize the Future!! A Decisive Battle with the Universe at Stake"" / ""Battle for the Universe Begins""",March 19 2003,N/A,N/A,N/A
Kid Buu Saga,"""Vegeta Takes Off His Hat!! Goku, You Are No. 1"" / ""Vegeta's Respect""",March 20 2003,N/A,N/A,N/A
Kid Buu Saga,"""Pull Through, Vegeta!! One Life-Threatening Minute"" / ""Minute of Desperation""",March 21 2003,N/A,N/A,N/A
Kid Buu Saga,"""Don't You Pick on Satan!! The Original Boo is Revived"" / ""Old Buu Emerges""",March 24 2003,N/A,N/A,N/A
Kid Buu Saga,"""Vegeta's Secret Plan!! Polunga and the Two Wishes"" / ""Earth Reborn""",March 25 2003,N/A,N/A,N/A
Kid Buu Saga,"""A Last Hope!! We'll Make a Huge Genki Dama"" / ""Call to Action""",March 26 2003,N/A,N/A,N/A
Kid Buu Saga,"""Ultra-Impressive!! The Genki Dama From Everyone is Finished"" / ""People of Earth Unite""",March 27 2003,N/A,N/A,N/A
Kid Buu Saga,"""Son Goku is Strongest After All!! Majin Boo is Eliminated"" / ""Spirit Bomb Triumphant""",March 28 2003,N/A,N/A,N/A
Kid Buu Saga,"""Peace Returns!! Majin Boo, Champion of Justice!?"" / ""Celebrations with Majin Buu""",March 31 2003,N/A,N/A,N/A
Kid Buu Saga,"""You're Late, Goku! Everyone Party!!"" / ""He's Always Late""",April 2 2003,N/A,N/A,N/A
Kid Buu Saga,"""Grandpa Goku! I Am Pan!!"" / ""Granddaughter Pan""",April 3 2003,N/A,N/A,N/A
Kid Buu Saga,"""I Am Oob! Now Ten Years Old, the Former Majin!?"" / ""Buu's Reincarnation""",April 4 2003,N/A,N/A,N/A
Kid Buu Saga,"""Even Stronger!! Goku's Dream is Super-Huge"" / ""Goku's Next Journey""",April 7 2003,N/A,N/A,N/A
